,EP_UNEMP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_NOVEH,EP_NOINT,RPL_THEME3,treatment,outcome,embed_idx
56,1.9,9.2,29.6,12.5,6.2,13.0,73.7,3.0,2.6,11.9,0.6533,28.2,15.55642224111179,59
57,0.0,10.0,21.7,9.9,11.5,2.9,60.6,0.0,0.0,27.3,0.5321,20.0,21.16579920382314,60
58,12.8,15.4,23.8,10.7,16.3,12.5,91.7,1.3,5.8,9.7,0.8438,14.3,53.882531911538024,61
59,4.0,14.1,28.7,7.9,1.3,0.1,19.2,0.0,0.0,4.9,0.0971,2.4,9.363227184654228,62
60,7.7,18.6,27.1,17.5,7.8,12.2,93.8,0.7,7.9,32.6,0.8763,34.6,32.23194031874752,63
61,10.6,23.0,22.9,18.6,11.4,2.2,98.4,0.0,6.5,19.5,0.9603,18.4,38.26902826538547,64
62,4.0,2.0,12.9,9.1,5.7,1.0,55.0,27.9,6.2,22.6,0.4797,2.9,45.483861304100834,65
63,1.5,12.4,23.0,17.3,6.9,0.3,53.3,0.0,2.5,4.7,0.4614,8.4,15.052544716610436,66
64,3.9,21.8,24.8,14.9,15.3,3.6,38.1,0.0,0.0,6.2,0.298,7.9,20.452468276010627,67
65,1.2,12.3,29.0,9.5,5.7,0.3,24.4,0.8,1.7,1.1,0.1492,3.6,-0.9091048160492612,70
66,5.0,19.0,18.3,20.5,9.1,2.4,35.9,0.3,7.6,5.5,0.2723,7.1,16.354869096422856,71
67,11.2,5.8,34.1,10.8,10.6,14.0,88.4,15.1,8.5,19.4,0.8024,40.3,40.04701312978523,72
68,2.8,8.1,26.9,10.7,9.6,7.2,72.6,0.0,0.0,2.2,0.6428,12.8,13.25080558471749,73
69,0.0,25.7,23.1,10.7,0.0,0.0,1.7,0.0,5.9,13.3,0.0015,36.4,20.56508162810468,74
70,3.4,6.8,24.3,4.4,2.1,4.9,21.1,23.9,6.8,8.5,0.114,5.3,13.85282002853278,75
71,13.2,9.7,13.3,13.9,11.8,1.3,50.9,0.0,0.9,39.8,0.4376,22.7,23.615865326708445,76
72,0.7,12.9,16.6,8.8,2.4,0.6,30.8,43.2,0.0,9.8,0.2141,1.1,9.919496545434884,77
73,7.3,13.6,24.3,17.8,12.1,19.9,64.5,10.0,7.1,11.8,0.5708,33.0,39.62368363061171,78
74,4.0,5.4,30.8,9.8,7.5,0.2,25.7,37.7,0.5,3.1,0.1625,3.4,17.200114786514582,79
75,3.1,14.5,23.3,13.9,4.2,3.3,45.0,2.4,7.7,13.4,0.3788,21.1,2.720010130421361,80
76,5.1,9.3,37.3,4.7,12.1,19.6,85.6,0.0,1.8,16.0,0.7684,44.2,30.686076321976056,81
77,7.9,24.9,23.5,10.8,0.0,16.0,74.1,1.2,5.9,10.3,0.6564,28.5,25.200179231846455,82
78,5.6,19.0,15.0,21.3,5.0,3.5,45.0,4.9,5.9,11.9,0.3788,6.4,22.528789332287225,83
79,13.6,29.4,11.8,23.4,0.0,4.6,7.3,7.9,2.4,10.7,0.0129,8.8,25.06541699818725,84
80,8.3,7.3,35.9,9.6,14.5,14.2,94.5,0.0,0.0,25.2,0.8855,35.1,44.27672404455384,85
81,21.2,6.3,34.5,10.1,3.6,8.0,79.1,0.5,0.5,29.0,0.704,27.3,30.591256782152307,86
82,6.5,9.5,29.7,8.1,10.9,13.6,87.3,19.8,3.4,15.4,0.7865,40.0,25.04274970671848,87
83,1.5,16.2,19.7,20.0,6.2,0.0,8.2,0.0,1.3,27.6,0.0152,10.9,23.52714409298991,88
84,6.7,18.2,20.7,15.8,7.9,3.7,67.4,6.5,4.7,5.9,0.5967,9.7,18.49121604455168,89
85,5.6,18.2,22.6,12.8,7.2,0.0,32.2,0.0,4.2,24.8,0.232,5.9,31.9969464439324,90
86,3.4,9.4,15.2,8.4,6.3,15.4,68.5,8.7,5.5,12.2,0.6057,32.5,21.081302668290125,91
87,1.6,19.6,17.2,11.4,0.5,4.4,23.6,0.0,2.2,0.0,0.1397,0.7,-0.3477032955462036,92
88,9.9,2.3,23.5,6.8,14.3,20.6,74.8,82.4,8.1,10.8,0.6644,17.6,29.696969099647703,94
89,5.2,20.6,18.4,19.6,8.2,0.5,41.9,15.6,3.7,25.0,0.3464,10.8,35.66943606958032,95
90,3.6,30.0,13.2,17.6,1.5,2.2,12.3,1.1,2.8,23.4,0.0384,9.2,19.669317283993554,96
91,6.0,31.2,20.1,31.2,7.9,0.0,15.0,0.0,0.0,16.7,0.0577,10.4,27.564055813298747,97
92,5.5,15.3,23.1,19.4,7.1,0.4,14.1,0.0,2.8,16.6,0.0526,22.3,28.50246741098363,98
93,9.1,26.6,23.1,15.3,5.2,2.0,32.8,2.4,3.7,21.8,0.2382,9.1,28.020035811624737,99
94,2.4,13.9,35.6,3.1,0.0,0.0,23.7,0.0,0.0,0.9,0.1406,12.1,-23.847542509346862,100
95,10.9,2.3,40.4,14.7,23.7,2.5,88.9,37.5,38.5,23.9,0.8081,44.0,57.44460352180536,101
96,3.5,25.3,20.0,13.2,2.6,5.0,34.0,0.0,0.9,3.8,0.2509,16.2,5.441156363672837,102
97,4.1,14.2,35.3,14.5,15.5,8.9,59.0,23.1,9.2,19.9,0.518,29.2,43.854660166863546,103
98,4.1,10.9,24.2,15.2,7.3,4.1,64.7,1.3,5.5,13.3,0.5726,24.2,27.933620359620303,104
99,5.1,14.3,22.9,12.5,1.6,1.8,21.2,0.0,4.2,2.7,0.1162,8.2,15.265705990116448,105
100,7.6,13.3,24.3,8.2,9.3,2.5,40.5,0.1,0.1,11.6,0.3296,16.0,10.128455374565087,106
101,6.4,24.0,14.2,7.5,1.2,4.1,41.4,0.0,0.0,1.8,0.3398,7.5,16.14066396885623,107
102,8.0,6.7,16.1,10.6,2.0,2.2,54.1,17.4,18.3,17.7,0.4688,14.4,21.225545394066582,108
103,11.5,15.2,23.0,18.4,13.4,3.9,72.3,7.9,12.1,13.7,0.6402,24.4,39.70084585397797,109
104,3.0,15.7,13.7,11.2,0.0,0.0,39.1,20.8,4.2,13.8,0.3102,11.5,17.25230150222037,110
105,5.6,3.5,19.4,4.1,6.1,9.8,82.3,63.0,9.3,18.1,0.7336,11.3,19.344482714246475,111
106,10.2,14.7,21.9,14.8,10.4,9.0,84.0,0.0,3.7,21.4,0.7519,26.5,34.19968954980436,112
107,16.4,9.3,40.8,16.1,22.4,2.0,69.2,21.3,10.2,30.4,0.6124,24.8,53.23063861988151,113
108,0.7,24.1,23.8,21.0,0.5,2.9,17.5,0.0,1.0,13.8,0.0793,9.2,18.304338541354507,114
109,4.6,25.2,20.6,6.1,4.9,0.0,24.4,13.0,0.0,0.6,0.1492,0.6,-1.858264772945918,115
110,14.3,5.6,34.6,14.9,9.3,19.2,98.1,0.0,2.3,6.0,0.952,27.8,33.853691944818,116
111,7.5,5.1,37.8,4.2,0.0,1.4,34.7,15.0,3.0,7.1,0.2589,2.9,16.531513891220584,117
112,4.6,7.1,36.7,12.2,8.5,1.1,21.6,0.0,0.0,1.1,0.1202,3.8,19.89074416707185,118
113,3.9,2.8,37.1,4.1,6.3,1.0,56.5,8.8,0.0,0.0,0.4958,2.8,9.44727021213188,119
114,8.3,8.1,32.2,9.4,8.2,13.4,65.9,13.4,5.0,1.7,0.5847,22.0,22.275901402059095,120
115,3.6,22.0,26.1,16.5,5.6,5.2,26.3,1.3,2.0,15.5,0.1684,17.3,35.763541542472005,121
116,3.2,33.9,21.6,15.8,3.7,0.9,22.5,11.8,4.8,7.9,0.1292,5.3,18.24220313739615,122
117,3.9,12.0,20.5,14.3,2.0,17.1,95.5,0.0,4.7,19.7,0.9016,40.7,35.16247892770463,123
118,16.5,29.9,21.1,21.1,1.6,0.0,7.7,0.0,0.7,12.7,0.0139,17.1,4.0144710214342005,124
119,12.3,12.7,28.3,10.4,4.7,1.2,35.1,0.0,5.3,17.3,0.2643,20.7,35.41948901327722,125
120,4.3,9.7,25.4,7.1,3.2,5.5,52.0,7.5,0.0,2.7,0.4496,6.4,3.5879060042512325,126
121,4.3,6.9,32.8,10.3,13.7,3.6,65.7,5.0,1.4,2.9,0.5828,7.0,8.438633650737945,127
122,7.3,7.4,33.7,12.6,15.3,2.2,77.6,0.4,3.1,3.5,0.691,11.9,23.942847540761218,128
123,2.4,14.2,31.2,19.5,10.4,1.6,50.4,10.0,3.0,13.8,0.4315,20.2,19.105130721537854,129
124,1.0,12.8,4.6,4.6,1.1,1.2,46.2,38.5,3.4,14.7,0.389,2.1,12.67396371098944,130
125,1.4,0.0,1.9,7.5,0.0,0.2,48.9,16.8,0.0,18.5,0.4172,1.3,29.51027929455201,131
126,2.4,12.9,25.0,5.9,1.7,5.4,23.7,1.6,0.7,9.4,0.1406,12.0,5.269537639386998,132
127,8.5,3.8,8.8,6.9,2.8,2.7,51.5,0.0,0.6,12.0,0.4439,25.7,13.327700506853567,133
128,2.3,7.6,32.4,9.7,12.0,2.1,55.8,0.0,0.0,3.7,0.4886,7.3,15.457904458301863,134
129,0.2,15.4,24.9,7.2,5.3,2.5,35.7,5.1,3.7,5.8,0.2697,3.7,9.117540010915238,135
130,1.0,38.4,16.1,16.2,1.4,0.5,6.5,0.0,1.0,6.1,0.0099,5.8,7.1514490529703725,136
131,7.7,6.6,22.5,5.8,7.0,2.4,72.8,68.6,6.3,12.0,0.6446,2.6,26.089437721901017,137
132,2.3,12.4,25.6,12.7,7.8,0.5,49.0,7.4,6.6,5.4,0.4185,12.9,16.756324711100213,138
133,5.2,14.5,25.9,18.5,11.3,0.3,20.7,0.7,1.8,10.9,0.1107,11.4,32.163907418869805,139
134,6.9,9.8,21.2,13.4,6.0,14.3,95.1,0.0,2.8,14.1,0.8963,26.7,19.211481145966054,141
135,7.6,10.2,27.3,11.6,10.4,12.8,70.7,9.8,6.9,11.1,0.626,35.8,17.130242755761373,142
136,9.0,12.0,25.4,17.3,7.2,1.4,25.4,1.7,2.9,3.3,0.16,14.6,26.522621833771165,143
137,4.7,16.9,22.6,14.4,12.9,1.9,64.8,4.8,3.7,22.2,0.5742,17.0,30.985343236116215,144
138,4.3,5.9,27.5,1.4,8.7,0.0,67.1,13.9,0.0,1.2,0.5936,8.3,4.920245276488606,145
139,6.4,10.4,18.1,19.5,16.4,1.2,54.4,0.7,4.1,45.4,0.4725,23.5,38.55415214001161,146
140,14.3,7.5,26.5,8.5,7.3,10.3,97.7,11.2,0.0,2.7,0.9438,20.5,21.284440012523167,147
141,5.6,20.4,26.5,16.2,6.6,3.8,57.7,0.6,4.0,17.7,0.5073,22.4,30.22918488979433,148
142,0.7,11.5,25.3,6.1,7.1,3.1,43.9,6.0,3.2,1.1,0.3664,7.1,0.79473762480308,149
143,2.6,4.1,37.6,8.0,15.1,17.4,100.0,0.0,7.1,33.3,0.9892,15.5,39.86690881059383,150
144,6.2,6.6,29.5,10.9,7.1,12.7,94.7,20.8,1.5,10.8,0.8896,22.3,26.862277539688748,151
145,5.1,13.4,35.8,12.9,12.5,4.0,42.3,5.8,2.4,4.6,0.3508,19.6,33.2214548005931,152
146,3.1,8.8,33.0,11.0,14.7,25.1,96.8,0.0,4.9,49.9,0.9274,40.3,37.85092797235828,153
147,12.8,14.3,20.4,4.8,3.7,0.0,40.9,36.0,6.8,8.4,0.334,5.2,19.463336297885533,154
148,4.7,10.5,22.8,10.4,5.2,2.5,54.8,6.9,2.3,11.2,0.4766,8.2,20.260803983584992,155
149,8.1,5.6,5.9,10.0,0.0,0.1,19.0,13.9,0.0,17.8,0.0949,3.6,20.24163989209064,156
150,8.3,15.6,24.9,18.5,0.8,0.0,8.4,0.5,2.0,16.8,0.0165,19.8,18.375758002555404,157
151,9.2,16.9,25.7,5.7,1.0,0.2,12.3,0.7,0.4,0.8,0.0384,2.3,12.068001135267632,159
152,6.6,15.2,12.6,10.2,4.9,20.2,74.2,19.5,0.0,10.2,0.6579,14.3,21.224865398217567,160
153,5.0,8.2,34.1,6.3,12.3,36.1,95.7,45.8,8.6,33.2,0.9049,49.5,45.33669190292093,161
154,2.8,15.2,25.8,15.7,12.8,1.5,46.1,0.0,1.3,13.3,0.3879,9.4,23.250047798935007,162
155,11.6,9.6,24.9,20.4,17.1,2.0,76.7,30.5,14.1,8.8,0.6811,20.4,29.24331284014084,163
156,6.3,9.0,31.6,20.8,20.5,0.0,84.5,0.0,0.0,4.3,0.7582,2.8,19.94416945363787,164
157,1.6,21.8,23.1,11.0,0.4,0.2,22.5,7.4,4.0,10.2,0.1292,4.1,12.516353131730224,165
158,3.4,13.6,25.2,6.1,5.8,6.5,21.8,21.4,0.8,3.4,0.1222,8.6,7.639611804080802,166
159,3.7,9.9,26.9,8.1,10.9,17.8,87.6,7.9,4.5,23.2,0.7903,26.0,33.48727346019359,167
160,8.5,7.7,7.9,7.7,3.9,0.0,24.3,97.8,5.5,20.4,0.1481,0.4,14.30173298062957,168
161,2.1,12.0,20.8,17.7,6.8,0.5,31.6,15.8,2.9,5.6,0.2243,3.1,7.462227338486975,169
162,2.6,18.3,23.0,14.9,8.4,7.6,36.8,2.5,1.1,13.0,0.2829,24.1,28.069304173189614,170
163,4.0,13.6,18.3,7.8,3.9,3.5,39.8,31.5,3.6,3.3,0.3218,1.9,2.6353177749794714,171
164,10.7,3.6,18.5,5.2,12.6,1.1,82.7,78.7,1.7,6.2,0.7377,9.1,16.971730865482606,172
165,8.4,11.6,29.0,9.7,14.9,5.3,90.1,0.0,0.0,7.5,0.8213,16.3,24.026719325278695,173
166,8.6,16.2,25.8,13.0,7.6,22.4,100.0,26.2,7.4,28.6,0.9892,27.2,45.26713417608009,174
167,7.7,16.9,26.1,26.1,12.5,2.3,29.9,1.6,6.1,17.8,0.2063,12.6,32.15040911934302,175
168,5.4,18.9,26.6,11.7,7.8,4.5,60.3,0.0,0.4,5.2,0.5292,17.3,18.39276280380796,176
169,0.9,16.6,41.4,14.5,4.2,1.2,16.6,3.0,0.0,6.7,0.0695,5.1,17.835094736993277,177
170,8.8,10.7,32.1,16.9,13.6,31.3,98.2,77.2,29.1,30.3,0.9544,25.3,57.0970693691449,178
171,4.8,10.2,27.5,7.5,18.9,6.5,71.5,32.9,6.2,24.0,0.6335,14.7,35.71279529255138,179
172,14.2,19.2,20.9,19.2,10.1,37.8,100.0,0.0,7.9,6.9,0.9892,42.1,48.899819529108925,180
173,2.3,14.3,20.6,13.0,16.9,1.3,93.9,28.0,12.4,9.5,0.8779,8.4,26.484842373304833,182
174,16.8,23.9,24.8,18.3,9.3,0.0,27.7,5.6,7.0,14.2,0.1844,13.4,32.439742178320174,183
175,3.3,24.4,16.3,10.9,4.0,1.3,23.7,0.6,0.6,1.0,0.1406,3.8,11.153625878332068,184
176,8.1,8.5,37.9,13.4,17.4,20.3,100.0,14.2,9.9,48.1,0.9892,33.6,34.024889719096684,185
177,3.0,37.3,14.8,35.0,2.0,0.0,21.4,0.0,4.2,23.1,0.1181,12.7,26.79304089633414,186
178,7.3,5.2,38.6,7.5,5.0,1.9,64.2,9.4,0.0,0.0,0.5664,2.4,7.277458178259997,187
179,3.7,6.9,33.7,15.1,13.5,24.7,99.8,2.2,8.6,42.3,0.9871,48.4,47.284639122480215,188
180,3.2,7.6,7.4,2.7,0.0,0.2,38.3,33.6,3.6,2.5,0.3007,0.8,0.3449547743873964,189
181,3.0,10.8,24.5,7.6,4.8,2.3,31.1,0.0,1.3,2.0,0.2177,4.0,13.00578128173372,190
182,4.7,17.2,22.4,13.0,6.2,1.6,24.3,2.1,2.9,11.7,0.1481,6.8,15.371412737484244,191
183,2.7,7.6,36.5,14.7,9.5,18.7,96.9,1.8,11.7,11.0,0.9284,39.9,51.547353101062434,192
184,7.7,12.3,25.9,9.5,10.3,12.6,61.6,15.6,4.5,14.2,0.5422,18.6,25.180630129256112,193
185,8.1,13.6,25.9,17.7,15.9,7.6,92.8,6.4,6.8,6.7,0.8623,14.0,31.82201184710472,195
186,5.6,8.4,32.8,10.0,15.0,10.4,94.9,0.0,0.2,13.1,0.8928,11.1,29.78010991312671,196
187,2.9,15.1,25.9,12.1,3.2,2.2,33.3,3.5,4.9,8.7,0.2439,8.1,9.199015799689477,197
188,1.6,7.9,13.5,4.2,0.4,0.5,25.0,15.9,4.5,12.7,0.1558,4.3,14.833642688698756,199
189,0.0,15.4,38.5,7.6,1.5,0.9,23.1,0.0,0.0,0.5,0.1354,2.0,9.152942374367989,200
190,1.2,15.5,28.6,11.1,16.9,22.5,95.3,53.4,17.5,34.0,0.8992,33.4,51.212032432117766,201
191,1.9,14.9,20.0,15.6,4.8,1.9,29.7,0.0,0.0,4.0,0.204,14.3,14.180845266987273,202
192,13.6,15.8,21.7,22.3,6.0,3.5,100.0,2.4,11.5,25.0,0.9892,29.4,49.5162811914948,203
193,2.1,16.8,21.9,7.6,6.3,6.4,58.5,22.9,3.2,7.8,0.514,13.0,24.144496522262234,204
194,4.2,8.1,23.6,9.8,5.9,5.8,68.1,13.1,9.0,20.2,0.6029,15.9,31.084132505897102,205
195,1.9,6.3,7.5,5.7,1.3,2.2,73.2,60.2,2.1,0.6,0.6478,2.7,18.915771974259147,206
196,7.1,20.2,20.2,12.6,10.0,2.6,87.2,1.9,4.3,21.0,0.7855,6.4,25.169476257897013,207
197,5.7,6.8,32.6,11.6,11.7,6.9,81.2,22.9,7.3,10.1,0.724,22.9,31.142009283996117,208
198,3.9,5.0,29.8,6.2,5.0,2.9,72.8,0.0,0.3,1.9,0.6446,10.0,10.0224743486241,209
199,8.5,13.9,23.9,12.4,13.4,0.5,28.9,10.4,3.8,8.5,0.1968,4.9,14.130836043302333,210
200,4.9,16.5,21.2,16.3,8.8,2.9,29.5,1.9,4.1,3.9,0.202,23.2,34.77787050193257,211
201,12.3,10.1,30.4,13.4,8.3,13.3,96.6,20.6,15.2,37.1,0.9241,31.3,39.12709957964796,213
202,5.8,17.4,19.5,9.1,3.3,1.2,15.7,0.0,0.7,3.7,0.0634,3.2,24.812137714890007,214
203,2.5,9.9,27.9,10.4,6.3,10.5,74.2,0.0,1.3,9.7,0.6579,15.5,20.95593818933841,215
204,9.3,17.6,25.0,21.0,11.1,0.5,70.4,6.6,18.4,29.0,0.6238,21.1,44.921306030928434,216
205,3.9,25.7,27.0,13.8,3.7,1.7,24.5,0.0,1.6,6.2,0.1508,9.9,15.101691876427267,217
206,3.0,9.0,32.0,7.1,2.3,4.4,43.8,19.5,1.1,1.2,0.3655,6.7,7.333737686354169,218
207,10.5,6.7,36.6,9.4,24.3,13.9,91.9,45.0,10.2,17.1,0.8464,27.9,48.28876906507445,219
208,6.7,7.0,29.1,6.6,4.9,1.6,58.8,0.2,1.2,5.1,0.5155,6.3,3.304555500796063,220
209,1.9,7.7,31.1,7.9,7.1,6.6,76.5,0.0,1.6,6.6,0.6787,29.7,23.645804625424084,221
210,2.6,9.0,31.4,7.5,7.1,25.1,90.6,2.1,4.0,14.9,0.8289,31.5,29.240064473518014,222
211,5.5,18.6,21.7,4.7,2.7,2.6,36.7,19.4,0.0,0.0,0.2815,1.8,8.04270876502858,223
212,2.6,13.1,31.8,18.2,10.3,28.2,98.9,0.0,8.9,8.7,0.9705,44.7,59.1190216829044,224
213,6.2,19.0,15.1,13.3,2.5,5.8,32.8,12.2,1.8,6.0,0.2382,13.2,21.67896328842803,225
214,7.9,18.9,25.6,14.2,1.6,0.0,19.4,0.0,1.6,16.5,0.0981,7.0,10.427005542874694,226
215,8.5,7.5,28.5,9.8,3.6,0.3,65.2,0.0,0.0,4.9,0.578,7.1,10.671059726955352,227
216,3.3,9.5,29.6,10.4,5.9,0.3,22.7,6.0,0.8,23.3,0.1314,11.5,20.341473981216662,228
217,2.9,8.5,37.7,10.2,14.8,24.6,96.5,0.0,1.4,18.4,0.9209,33.3,42.338732168423746,229
218,8.0,15.9,25.6,10.7,9.4,0.0,50.7,14.3,15.7,17.5,0.435,7.3,44.60287832989661,230
219,14.9,42.9,0.0,37.6,0.0,0.0,8.1,10.6,0.0,1.6,0.0149,6.4,21.544756838940025,231
220,0.0,8.7,31.8,14.4,17.5,1.1,63.5,0.0,0.0,6.4,0.561,11.4,33.059928412494905,232
221,4.2,12.5,31.5,10.3,6.1,1.1,13.7,0.2,1.3,14.8,0.0498,9.1,23.198335186515436,233
222,7.5,5.3,30.0,7.0,4.2,5.1,79.3,1.6,0.0,2.4,0.7063,11.3,-2.549418964844417,234
223,2.6,22.6,22.4,19.2,6.6,1.1,9.3,0.0,4.3,20.4,0.0213,15.3,31.45277783306743,235
224,5.1,14.8,29.9,10.6,11.4,6.4,70.4,1.5,16.6,19.7,0.6238,19.3,35.75800508416415,236
225,7.1,19.2,21.8,15.1,4.1,10.1,87.4,18.4,16.2,33.7,0.7883,19.7,45.49426934216892,238
226,11.5,17.9,20.1,11.9,10.4,1.2,33.0,17.9,1.3,10.9,0.2404,6.5,15.045413425097818,239
