FIPS	EP_NOHSDP	EP_AGE17	EP_AGE17_interact	EP_AGE65	EP_AGE65_interact	EP_DISABL	EP_DISABL_interact	EP_LIMENG	EP_LIMENG_interact	EP_MINRTY	EP_MINRTY_interact	EP_MUNIT	EP_MUNIT_interact	EP_NOINT	EP_NOINT_interact	EP_NOVEH	EP_NOVEH_interact	EP_SNGPNT	EP_SNGPNT_interact	EP_UNEMP	EP_UNEMP_interact	RPL_THEME3	RPL_THEME3_interact	EP_POV150_pred	EP_POV150_pred_00	EP_POV150_pred_01	Y_synth	Y_synth_00	Y_synth_01
48381021000	False	24.3	0.0	16.7	0.0	14.4	0.0	0.2	0.0	21.1	0.0	1.9	0.0	9.3	0.0	1.9	0.0	7.4	0.0	1.6	0.0	0.114	0.0	13.097545	13.097545	17.350317	7.439396155828709	7.439396155828709	11.692168487066503
48439111541	False	30.4	0.0	5.0	0.0	6.5	0.0	2.1	0.0	78.8	0.0	0.0	0.0	4.5	0.0	2.8	0.0	11.2	0.0	9.1	0.0	0.7006	0.0	17.244768	17.244768	19.66388	16.29247092255434	16.29247092255434	18.711582174385395
48113019050	False	18.8	0.0	26.8	0.0	13.0	0.0	3.7	0.0	47.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	2.6	0.0	0.3976	0.0	7.409116	7.409116	13.241026	-11.324780734844449	-11.324780734844449	-5.4928706014826325
48201555304	False	27.3	0.0	13.5	0.0	8.4	0.0	2.4	0.0	41.2	0.0	0.0	0.0	6.9	0.0	2.0	0.0	4.4	0.0	3.5	0.0	0.337	0.0	10.769079	10.769079	14.929904	32.19032533390659	32.19032533390659	36.35115010960239
48305950600	True	29.5	29.5	19.9	19.9	21.4	21.4	3.5	3.5	47.6	47.6	3.3	3.3	8.1	8.1	3.6	3.6	6.5	6.5	0.7	0.7	0.4036	0.4036	30.166622	21.629057	30.166622	19.50874473529681	10.971179503973564	19.50874473529681
48061012900	True	20.8	20.8	19.2	19.2	17.1	17.1	16.0	16.0	87.6	87.6	12.2	12.2	27.9	27.9	14.6	14.6	9.4	9.4	11.7	11.7	0.7903	0.7903	45.49036	34.67679	45.49036	39.27189484527112	28.45832291533948	39.27189484527112
48201534102	True	29.5	29.5	11.1	11.1	12.6	12.6	14.3	14.3	91.2	91.2	1.9	1.9	4.5	4.5	4.2	4.2	15.2	15.2	7.0	7.0	0.8367	0.8367	35.003036	26.075977	35.003036	34.180580905484035	25.253521731900054	34.180580905484035
48201342801	False	24.3	0.0	18.9	0.0	8.0	0.0	3.0	0.0	44.2	0.0	0.0	0.0	1.8	0.0	0.9	0.0	4.4	0.0	1.4	0.0	0.3693	0.0	7.6471653	7.6471653	12.138443	5.307400901104451	5.307400901104451	9.7986785958066
48113013617	False	23.7	0.0	15.9	0.0	7.0	0.0	1.1	0.0	31.8	0.0	20.6	0.0	3.6	0.0	0.4	0.0	9.3	0.0	3.0	0.0	0.2272	0.0	10.055649	10.055649	14.500372	8.82159702971393	8.82159702971393	13.26632015898639
48215022008	True	23.9	23.9	26.5	26.5	16.4	16.4	17.7	17.7	70.3	70.3	4.7	4.7	57.0	57.0	3.6	3.6	7.5	7.5	15.3	15.3	0.6225	0.6225	37.91562	31.01588	37.91562	30.993139809134828	24.09340149736725	30.993139809134828
48491020507	False	32.7	0.0	5.5	0.0	7.6	0.0	1.6	0.0	45.4	0.0	7.5	0.0	3.6	0.0	0.9	0.0	11.1	0.0	4.4	0.0	0.3823	0.0	12.341683	12.341683	16.968384	8.09395784196267	8.09395784196267	12.720658243268822
48113002100	False	4.2	0.0	2.9	0.0	7.3	0.0	0.9	0.0	45.7	0.0	97.7	0.0	8.9	0.0	17.9	0.0	3.5	0.0	4.2	0.0	0.3843	0.0	21.534883	21.534883	32.064182	26.638189810049813	26.638189810049813	37.16748859239844
48317950200	True	35.7	35.7	10.6	10.6	9.7	9.7	2.6	2.6	54.7	54.7	0.0	0.0	19.3	19.3	0.0	0.0	7.6	7.6	4.7	4.7	0.4755	0.4755	25.973682	18.936636	25.973682	46.542616463301115	39.505570030806	46.542616463301115
48121021648	False	12.0	0.0	36.3	0.0	7.2	0.0	0.2	0.0	12.4	0.0	17.9	0.0	4.9	0.0	5.9	0.0	2.8	0.0	0.0	0.0	0.039	0.0	7.594786	7.594786	11.93257	4.284864564258212	4.284864564258212	8.622648854571933
48113012702	True	26.4	26.4	9.9	9.9	11.1	11.1	7.3	7.3	71.1	71.1	2.2	2.2	17.6	17.6	10.8	10.8	8.2	8.2	2.7	2.7	0.6291	0.6291	34.00991	25.609158	34.00991	26.634489658819476	18.23373663757924	26.634489658819476
48201323701	False	24.0	0.0	17.2	0.0	17.6	0.0	4.6	0.0	66.9	0.0	43.8	0.0	10.2	0.0	6.1	0.0	18.1	0.0	3.9	0.0	0.5919	0.0	26.697922	26.697922	31.613497	24.587903531131207	24.587903531131207	29.503478558597028
48441013602	False	16.8	0.0	27.2	0.0	18.9	0.0	0.2	0.0	7.6	0.0	2.2	0.0	13.7	0.0	3.7	0.0	0.3	0.0	0.4	0.0	0.0133	0.0	11.482061	11.482061	15.766449	9.741134638009648	9.741134638009648	14.025522226510624
48167726000	False	15.0	0.0	27.8	0.0	8.8	0.0	0.0	0.0	20.3	0.0	21.1	0.0	6.4	0.0	0.7	0.0	3.4	0.0	6.6	0.0	0.1063	0.0	8.232361	8.232361	13.078128	18.35980717923713	18.35980717923713	23.20557420041633
48029121204	False	17.6	0.0	17.4	0.0	22.9	0.0	4.9	0.0	66.2	0.0	35.5	0.0	28.1	0.0	17.6	0.0	9.3	0.0	2.2	0.0	0.5875	0.0	33.508976	33.508976	39.449917	21.94469824693953	21.94469824693953	27.885639103873125
48339691000	False	26.1	0.0	20.1	0.0	4.4	0.0	0.0	0.0	23.4	0.0	0.7	0.0	0.4	0.0	0.6	0.0	1.0	0.0	2.1	0.0	0.1374	0.0	3.7479753	3.7479753	7.139709	-11.08318202299504	-11.08318202299504	-7.691448376602217
48139060105	True	24.9	24.9	12.4	12.4	11.0	11.0	4.3	4.3	57.3	57.3	0.4	0.4	7.9	7.9	2.1	2.1	2.8	2.8	0.7	0.7	0.5034	0.5034	15.754744	11.382825	15.754744	10.235938580302115	5.864019902018423	10.235938580302115
48339691900	False	20.9	0.0	11.2	0.0	7.7	0.0	2.6	0.0	28.7	0.0	8.0	0.0	8.9	0.0	1.0	0.0	10.2	0.0	1.0	0.0	0.1948	0.0	13.460478	13.460478	17.207912	15.975632577700079	15.975632577700079	19.723067193788946
48113014315	True	26.9	26.9	6.8	6.8	8.0	8.0	24.9	24.9	74.6	74.6	25.5	25.5	15.3	15.3	13.3	13.3	12.1	12.1	4.2	4.2	0.6625	0.6625	40.739296	29.12788	40.739296	51.347570455405105	39.736154592367996	51.347570455405105
48029170700	True	25.3	25.3	15.8	15.8	18.3	18.3	15.9	15.9	98.5	98.5	1.2	1.2	38.0	38.0	16.4	16.4	18.0	18.0	6.6	6.6	0.9622	0.9622	52.371685	43.923412	52.371685	51.12328611825367	42.67501341317554	51.12328611825367
48201250304	True	19.7	19.7	4.7	4.7	12.5	12.5	1.6	1.6	84.7	84.7	17.4	17.4	6.9	6.9	3.5	3.5	9.1	9.1	1.9	1.9	0.7608	0.7608	25.28009	17.867666	25.28009	36.14014654288079	28.72772245535638	36.14014654288079
48073950302	True	18.6	18.6	28.1	28.1	8.9	8.9	2.0	2.0	25.9	25.9	0.0	0.0	30.4	30.4	5.1	5.1	14.6	14.6	3.4	3.4	0.1644	0.1644	24.066444	20.842968	24.066444	23.89653436241969	20.67305795250758	23.89653436241969
48201542108	True	33.5	33.5	5.5	5.5	1.3	1.3	12.3	12.3	92.3	92.3	0.0	0.0	0.0	0.0	0.0	0.0	23.5	23.5	21.7	21.7	0.8534	0.8534	22.388195	24.626537	22.388195	26.591605028147633	28.829947313303883	26.591605028147633
48439110401	True	19.0	19.0	15.9	15.9	11.0	11.0	1.5	1.5	33.8	33.8	0.0	0.0	5.9	5.9	0.9	0.9	3.2	3.2	5.4	5.4	0.2485	0.2485	12.679035	9.115671	12.679035	11.853722961174816	8.290358932244152	11.853722961174816
48029121906	True	23.9	23.9	14.7	14.7	10.1	10.1	1.4	1.4	52.5	52.5	28.5	28.5	8.6	8.6	4.7	4.7	1.4	1.4	4.0	4.0	0.4541	0.4541	19.440979	14.102468	19.440979	20.972591393972916	15.634079926992936	20.972591393972916
48113018156	False	23.1	0.0	7.0	0.0	3.9	0.0	2.2	0.0	54.7	0.0	1.7	0.0	3.4	0.0	3.8	0.0	3.8	0.0	5.3	0.0	0.4755	0.0	8.775049	8.775049	12.316169	8.825262248189048	8.825262248189048	12.366381823689537
48403950100	True	21.1	21.1	29.9	29.9	21.1	21.1	0.0	0.0	7.7	7.7	0.0	0.0	12.7	12.7	0.7	0.7	1.6	1.6	16.5	16.5	0.0139	0.0139	21.805077	13.789756	21.805077	28.051158052519582	20.035837274626516	28.051158052519582
48201321302	True	36.3	36.3	8.0	8.0	17.3	17.3	26.1	26.1	87.6	87.6	14.9	14.9	1.5	1.5	0.0	0.0	25.6	25.6	21.4	21.4	0.7903	0.7903	46.21265	34.114132	46.21265	41.67556293698314	29.57704456540111	41.67556293698314
48141000205	True	30.6	30.6	11.8	11.8	22.0	22.0	11.1	11.1	77.8	77.8	20.3	20.3	25.1	25.1	14.2	14.2	15.7	15.7	6.9	6.9	0.6925	0.6925	48.896572	39.149837	48.896572	53.772220429025225	44.0254858098846	53.772220429025225
48201420400	False	23.8	0.0	14.5	0.0	9.8	0.0	7.0	0.0	42.1	0.0	0.6	0.0	25.0	0.0	9.6	0.0	7.8	0.0	2.8	0.0	0.3481	0.0	25.687366	25.687366	28.256628	31.880995569387963	31.880995569387963	34.45025712029128
48113018128	True	32.6	32.6	6.8	6.8	11.6	11.6	6.9	6.9	81.2	81.2	22.9	22.9	10.1	10.1	7.3	7.3	11.7	11.7	5.7	5.7	0.724	0.724	36.358124	26.131569	36.358124	42.93796096316334	32.71140609255787	42.93796096316334
48201554001	False	26.5	0.0	20.8	0.0	11.5	0.0	5.2	0.0	51.7	0.0	42.4	0.0	10.4	0.0	5.2	0.0	11.8	0.0	4.1	0.0	0.4461	0.0	21.495295	21.495295	26.22438	24.591826869552897	24.591826869552897	29.320912791794107
48113004201	True	21.9	21.9	16.8	16.8	7.6	7.6	6.4	6.4	58.5	58.5	22.9	22.9	7.8	7.8	3.2	3.2	6.3	6.3	2.1	2.1	0.514	0.514	20.627285	14.612156	20.627285	23.64798599535481	17.63285690599934	23.64798599535481
48027020402	True	30.4	30.4	11.7	11.7	13.0	13.0	3.4	3.4	72.5	72.5	1.3	1.3	30.2	30.2	7.4	7.4	20.3	20.3	10.7	10.7	0.6421	0.6421	43.518593	36.643837	43.518593	34.60765904883106	27.73290318945606	34.60765904883106
48085031812	False	3.8	0.0	80.8	0.0	26.5	0.0	1.5	0.0	17.0	0.0	91.3	0.0	6.0	0.0	19.1	0.0	0.0	0.0	0.0	0.0	0.0742	0.0	7.489973	7.489973	13.219082	1.229552763151382	1.229552763151382	6.958661573576187
48453002214	True	29.0	29.0	3.6	3.6	6.8	6.8	17.7	17.7	79.0	79.0	0.0	0.0	10.7	10.7	0.0	0.0	5.0	5.0	10.5	10.5	0.7031	0.7031	25.148592	20.01846	25.148592	24.472513066883728	19.34238039171283	24.472513066883728
48233950900	True	25.4	25.4	12.0	12.0	17.3	17.3	1.4	1.4	25.4	25.4	1.7	1.7	3.3	3.3	2.9	2.9	7.2	7.2	9.0	9.0	0.16	0.16	19.535559	13.692291	19.535559	30.743381642825522	24.900114202029624	30.743381642825522
48201551300	False	25.5	0.0	15.2	0.0	11.7	0.0	20.4	0.0	83.2	0.0	0.0	0.0	12.6	0.0	1.0	0.0	3.8	0.0	5.1	0.0	0.7428	0.0	20.090525	20.090525	29.800013	10.522507132626128	10.522507132626128	20.23199504766519
48113000201	False	23.5	0.0	10.9	0.0	4.3	0.0	0.0	0.0	9.7	0.0	2.9	0.0	2.3	0.0	1.5	0.0	0.8	0.0	1.0	0.0	0.0229	0.0	3.8724942	3.8724942	6.033799	0.7067370488969149	0.7067370488969149	2.8680419996110262
48041002026	False	36.8	0.0	9.8	0.0	5.5	0.0	2.3	0.0	42.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.9	0.0	0.3559	0.0	5.64611	5.64611	7.9099994	16.881620777162638	16.881620777162638	19.14551008990678
48439104204	False	19.5	0.0	25.9	0.0	4.4	0.0	0.0	0.0	3.8	0.0	4.4	0.0	3.4	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0039	0.0	4.3771567	4.3771567	6.8300476	21.24602009407465	21.24602009407465	23.698910967029974
48201452701	True	19.3	19.3	12.1	12.1	10.6	10.6	17.6	17.6	96.1	96.1	1.8	1.8	9.3	9.3	4.2	4.2	11.6	11.6	7.4	7.4	0.9118	0.9118	30.94003	24.716972	30.94003	26.898206309511025	20.675149516298134	26.898206309511025
48201552003	False	21.8	0.0	10.0	0.0	12.9	0.0	1.4	0.0	62.5	0.0	20.1	0.0	2.6	0.0	16.6	0.0	6.7	0.0	8.6	0.0	0.5502	0.0	20.801483	20.801483	30.115158	23.94009379870717	23.94009379870717	33.25376872546498
48309000700	True	23.6	23.6	8.1	8.1	9.8	9.8	5.8	5.8	68.1	68.1	13.1	13.1	20.2	20.2	9.0	9.0	5.9	5.9	4.2	4.2	0.6029	0.6029	33.626747	27.002497	33.626747	28.251004582622514	21.62675417063521	28.251004582622514
48201251300	False	23.4	0.0	23.7	0.0	7.4	0.0	0.0	0.0	23.9	0.0	2.0	0.0	1.8	0.0	0.6	0.0	3.5	0.0	7.4	0.0	0.1433	0.0	5.9713945	5.9713945	12.452093	10.474657709457478	10.474657709457478	16.955356294967732
48439113707	False	23.5	0.0	11.5	0.0	8.5	0.0	0.2	0.0	12.1	0.0	0.0	0.0	2.0	0.0	2.4	0.0	5.4	0.0	3.4	0.0	0.0374	0.0	6.3886156	6.3886156	10.101986	2.0546837061224164	2.0546837061224164	5.768054029303569
48491021601	True	25.7	25.7	7.5	7.5	7.5	7.5	3.4	3.4	49.3	49.3	5.5	5.5	9.6	9.6	2.0	2.0	4.8	4.8	2.3	2.3	0.4214	0.4214	16.846937	12.317032	16.846937	9.111947000024049	4.582041680810182	9.111947000024049
48427950204	True	27.0	27.0	15.3	15.3	18.2	18.2	34.4	34.4	99.7	99.7	0.5	0.5	25.0	25.0	9.1	9.1	11.9	11.9	7.6	7.6	0.9857	0.9857	53.14968	39.526104	53.14968	49.26433770918379	35.64076059126387	49.26433770918379
48113009803	True	24.5	24.5	11.7	11.7	11.2	11.2	14.8	14.8	65.0	65.0	5.6	5.6	25.8	25.8	0.0	0.0	8.4	8.4	2.5	2.5	0.5765	0.5765	29.873638	23.044567	29.873638	26.519136787052283	19.690065742130408	26.519136787052283
48375014300	False	28.9	0.0	15.9	0.0	14.7	0.0	5.4	0.0	21.7	0.0	0.0	0.0	8.1	0.0	2.0	0.0	4.1	0.0	1.7	0.0	0.1212	0.0	13.887381	13.887381	19.937737	19.365200854404993	19.365200854404993	25.415556765659876
48193950200	True	15.2	15.2	32.2	32.2	26.2	26.2	1.4	1.4	15.2	15.2	0.5	0.5	15.4	15.4	0.8	0.8	1.8	1.8	2.0	2.0	0.06	0.06	18.996368	15.733926	18.996368	23.30753702633598	20.045094437529826	23.30753702633598
48113001705	False	0.6	0.0	6.0	0.0	0.6	0.0	0.0	0.0	27.7	0.0	90.6	0.0	4.2	0.0	6.5	0.0	0.0	0.0	3.2	0.0	0.1844	0.0	10.2488985	10.2488985	17.97145	5.799515380216757	5.799515380216757	13.522067679716269
48167724101	False	9.9	0.0	38.7	0.0	29.4	0.0	2.2	0.0	34.5	0.0	64.1	0.0	16.2	0.0	19.9	0.0	2.9	0.0	3.8	0.0	0.257	0.0	17.93124	17.93124	20.928757	20.477998335218974	20.477998335218974	23.475514967299052
48121020132	False	39.5	0.0	5.9	0.0	10.1	0.0	0.9	0.0	49.1	0.0	0.0	0.0	0.8	0.0	0.6	0.0	0.0	0.0	16.2	0.0	0.4195	0.0	12.167789	12.167789	19.874006	24.926445772656425	24.926445772656425	32.63266258479021
48201554803	False	32.1	0.0	8.5	0.0	3.3	0.0	0.1	0.0	47.7	0.0	3.1	0.0	0.0	0.0	0.0	0.0	1.8	0.0	2.5	0.0	0.4042	0.0	4.487128	4.487128	5.9008255	2.26343401795853	2.26343401795853	3.6771317375325046
48367140413	True	14.3	14.3	20.8	20.8	23.5	23.5	3.0	3.0	18.5	18.5	0.0	0.0	20.0	20.0	0.3	0.3	2.2	2.2	7.2	7.2	0.0891	0.0891	18.791456	17.376602	18.791456	12.023267494844422	10.608413445161805	12.023267494844422
48491020338	False	33.4	0.0	4.7	0.0	8.1	0.0	1.1	0.0	32.6	0.0	14.3	0.0	0.5	0.0	2.7	0.0	1.7	0.0	2.0	0.0	0.2355	0.0	7.1200933	7.1200933	10.395499	8.091245283669817	8.091245283669817	11.36665116745888
48201542106	True	27.2	27.2	4.2	4.2	10.7	10.7	3.3	3.3	76.3	76.3	0.0	0.0	10.6	10.6	0.2	0.2	10.2	10.2	5.6	5.6	0.677	0.677	21.126	18.463884	21.126	15.603485977733335	12.941370880687437	15.603485977733335
48257050215	False	35.6	0.0	4.9	0.0	6.3	0.0	1.0	0.0	20.4	0.0	2.2	0.0	5.3	0.0	0.0	0.0	4.3	0.0	3.6	0.0	0.1072	0.0	8.3476305	8.3476305	11.728859	2.604654472137409	2.604654472137409	5.985882919097858
48005000902	False	14.1	0.0	17.4	0.0	15.2	0.0	3.2	0.0	38.9	0.0	18.7	0.0	8.9	0.0	3.1	0.0	5.3	0.0	10.4	0.0	0.3077	0.0	16.83573	16.83573	19.295393	8.959311581270146	8.959311581270146	11.418974972383428
48303001711	False	29.4	0.0	15.6	0.0	13.7	0.0	0.0	0.0	32.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	5.0	0.0	4.9	0.0	0.2298	0.0	10.203867	10.203867	15.149041	-0.6956641444685303	-0.6956641444685303	4.249510072755591
48141004317	False	25.5	0.0	5.5	0.0	12.7	0.0	10.0	0.0	86.9	0.0	50.5	0.0	10.9	0.0	1.3	0.0	11.7	0.0	4.3	0.0	0.7827	0.0	25.537247	25.537247	32.16076	31.62604708186272	31.62604708186272	38.24955934992912
48245000306	False	15.9	0.0	25.0	0.0	15.9	0.0	0.2	0.0	23.5	0.0	7.9	0.0	8.4	0.0	0.0	0.0	4.0	0.0	2.1	0.0	0.1383	0.0	9.796547	9.796547	14.131849	22.719872929713098	22.719872929713098	27.05517528261837
48201455104	False	20.2	0.0	18.2	0.0	17.4	0.0	1.7	0.0	37.7	0.0	18.0	0.0	1.0	0.0	0.4	0.0	2.9	0.0	17.7	0.0	0.2937	0.0	11.340045	11.340045	14.103344	12.951342379246501	12.951342379246501	15.714641367588786
48201454400	False	25.9	0.0	0.0	0.0	8.1	0.0	0.8	0.0	92.9	0.0	86.5	0.0	13.7	0.0	0.0	0.0	0.0	0.0	4.7	0.0	0.8633	0.0	27.248945	27.248945	32.81772	27.991151020386656	27.991151020386656	33.55992429003998
48439113916	False	21.1	0.0	10.3	0.0	11.7	0.0	2.7	0.0	47.3	0.0	23.2	0.0	4.9	0.0	0.7	0.0	10.2	0.0	7.0	0.0	0.4003	0.0	16.283226	16.283226	20.20832	12.156665339387477	12.156665339387477	16.081759943879664
48201421205	True	36.9	36.9	0.8	0.8	3.7	3.7	48.3	48.3	92.8	92.8	82.3	82.3	54.8	54.8	15.3	15.3	12.8	12.8	4.3	4.3	0.8623	0.8623	58.828552	44.11417	58.828552	57.831062845202744	43.116680673571885	57.831062845202744
48201542002	False	31.3	0.0	9.8	0.0	9.6	0.0	1.6	0.0	73.6	0.0	0.0	0.0	6.7	0.0	0.0	0.0	16.5	0.0	4.7	0.0	0.6526	0.0	17.953564	17.953564	21.802822	18.835141938574576	18.835141938574576	22.68440036142614
48031950102	False	9.2	0.0	38.2	0.0	23.7	0.0	0.1	0.0	10.2	0.0	0.0	0.0	5.3	0.0	3.2	0.0	0.0	0.0	7.4	0.0	0.0253	0.0	10.024456	10.024456	16.346527	7.281506264807353	7.281506264807353	13.603577340246806
48257050300	True	26.2	26.2	10.8	10.8	13.7	13.7	5.6	5.6	48.9	48.9	9.3	9.3	14.6	14.6	0.0	0.0	13.3	13.3	3.4	3.4	0.4172	0.4172	26.289143	20.43966	26.289143	24.83043951276989	18.980956022779655	24.83043951276989
48113013902	True	23.2	23.2	18.1	18.1	10.7	10.7	12.9	12.9	64.2	64.2	7.0	7.0	14.0	14.0	5.9	5.9	5.1	5.1	4.3	4.3	0.5664	0.5664	27.949356	20.655773	27.949356	21.711125345701063	14.417542429441298	21.711125345701063
48113005901	True	23.0	23.0	18.4	18.4	22.2	22.2	11.4	11.4	98.5	98.5	0.0	0.0	39.4	39.4	12.9	12.9	7.9	7.9	7.1	7.1	0.9622	0.9622	49.48582	40.255783	49.48582	65.68264566522953	56.45260797602054	65.68264566522953
48201412201	False	27.2	0.0	11.4	0.0	6.0	0.0	0.0	0.0	41.6	0.0	44.9	0.0	10.6	0.0	16.7	0.0	5.3	0.0	4.2	0.0	0.3429	0.0	18.311386	18.311386	29.680134	8.110050017226573	8.110050017226573	19.478797728408214
48121020700	False	3.2	0.0	13.3	0.0	14.0	0.0	1.9	0.0	37.7	0.0	47.3	0.0	18.1	0.0	13.5	0.0	1.1	0.0	7.8	0.0	0.2937	0.0	27.411213	27.411213	29.776077	25.133009203320455	25.133009203320455	27.49787355268569
48201532900	True	30.3	30.3	8.7	8.7	11.4	11.4	14.9	14.9	98.0	98.0	11.5	11.5	21.7	21.7	6.8	6.8	17.2	17.2	15.7	15.7	0.9493	0.9493	44.82084	35.063354	44.82084	43.40027496501759	33.64279052898243	43.40027496501759
48113000704	False	2.1	0.0	3.7	0.0	0.0	0.0	1.1	0.0	30.4	0.0	95.6	0.0	0.0	0.0	2.2	0.0	0.4	0.0	1.8	0.0	0.2097	0.0	6.1417017	6.1417017	12.259044	25.415276230392752	25.415276230392752	31.53261822563201
48249950600	True	27.2	27.2	23.5	23.5	16.6	16.6	5.1	5.1	96.5	96.5	1.6	1.6	35.7	35.7	16.0	16.0	9.4	9.4	1.3	1.3	0.9209	0.9209	45.12437	37.32051	45.12437	49.64717266954702	41.84331295885366	49.64717266954702
48439111406	False	27.8	0.0	8.9	0.0	7.9	0.0	1.9	0.0	45.1	0.0	0.0	0.0	0.3	0.0	0.0	0.0	7.7	0.0	4.3	0.0	0.3798	0.0	8.283347	8.283347	10.655045	7.193895050681801	7.193895050681801	9.565592476524087
48073950801	True	23.5	23.5	23.1	23.1	16.7	16.7	3.3	3.3	23.9	23.9	0.0	0.0	14.3	14.3	2.7	2.7	9.2	9.2	10.5	10.5	0.1433	0.1433	24.809566	17.922688	24.809566	26.605611408280932	19.718732440995776	26.605611408280932
48189950600	True	18.1	18.1	9.3	9.3	9.1	9.1	3.7	3.7	52.8	52.8	2.4	2.4	17.7	17.7	5.0	5.0	11.7	11.7	1.7	1.7	0.4571	0.4571	28.198547	25.960224	28.198547	26.114466462693386	23.876143251023464	26.114466462693386
48491020355	False	28.7	0.0	7.8	0.0	4.9	0.0	0.0	0.0	55.0	0.0	21.3	0.0	0.0	0.0	4.7	0.0	0.0	0.0	10.2	0.0	0.4797	0.0	8.850893	8.850893	14.896542	5.4842040846653095	5.4842040846653095	11.529852659494411
48453032300	False	8.5	0.0	1.8	0.0	3.6	0.0	3.0	0.0	55.5	0.0	61.4	0.0	5.8	0.0	15.4	0.0	4.0	0.0	11.2	0.0	0.485	0.0	29.396482	29.396482	41.89028	36.648015662049936	36.648015662049936	49.14181487164466
48201341203	False	10.6	0.0	14.9	0.0	18.6	0.0	5.0	0.0	43.3	0.0	49.9	0.0	7.2	0.0	3.3	0.0	4.9	0.0	4.1	0.0	0.3595	0.0	18.147657	18.147657	18.2681	31.166357955844013	31.166357955844013	31.286801299960224
48453034100	False	13.2	0.0	6.3	0.0	6.3	0.0	5.5	0.0	64.1	0.0	64.6	0.0	5.2	0.0	5.5	0.0	1.8	0.0	2.9	0.0	0.5659	0.0	13.975465	13.975465	19.734537	12.221868540974445	12.221868540974445	17.980940844746417
