,EP_UNEMP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_NOVEH,EP_NOINT,RPL_THEME3,treatment,outcome
29,2.1,20.1,26.1,4.4,1.0,0.0,23.4,0.7,0.6,0.4,0.1374,False,-11.08318202299504
30,0.7,12.4,24.9,11.0,2.8,4.3,57.3,0.4,2.1,7.9,0.5034,True,10.235938580302117
31,1.0,11.2,20.9,7.7,10.2,2.6,28.7,8.0,1.0,8.9,0.1948,False,15.97563257770008
32,4.2,6.8,26.9,8.0,12.1,24.9,74.6,25.5,13.3,15.3,0.6625,True,51.347570455405105
33,6.6,15.8,25.3,18.3,18.0,15.9,98.5,1.2,16.4,38.0,0.9622,True,51.12328611825367
34,1.9,4.7,19.7,12.5,9.1,1.6,84.7,17.4,3.5,6.9,0.7608,True,36.14014654288079
35,3.4,28.1,18.6,8.9,14.6,2.0,25.9,0.0,5.1,30.4,0.1644,True,23.89653436241969
36,21.7,5.5,33.5,1.3,23.5,12.3,92.3,0.0,0.0,0.0,0.8534,True,26.591605028147633
37,5.4,15.9,19.0,11.0,3.2,1.5,33.8,0.0,0.9,5.9,0.2485,True,11.853722961174816
38,4.0,14.7,23.9,10.1,1.4,1.4,52.5,28.5,4.7,8.6,0.4541,True,20.972591393972916
39,5.3,7.0,23.1,3.9,3.8,2.2,54.7,1.7,3.8,3.4,0.4755,False,8.825262248189048
40,16.5,29.9,21.1,21.1,1.6,0.0,7.7,0.0,0.7,12.7,0.0139,True,28.051158052519582
41,21.4,8.0,36.3,17.3,25.6,26.1,87.6,14.9,0.0,1.5,0.7903,True,41.67556293698314
42,6.9,11.8,30.6,22.0,15.7,11.1,77.8,20.3,14.2,25.1,0.6925,True,53.772220429025225
43,2.8,14.5,23.8,9.8,7.8,7.0,42.1,0.6,9.6,25.0,0.3481,False,31.880995569387963
44,5.7,6.8,32.6,11.6,11.7,6.9,81.2,22.9,7.3,10.1,0.724,True,42.93796096316334
45,4.1,20.8,26.5,11.5,11.8,5.2,51.7,42.4,5.2,10.4,0.4461,False,24.591826869552897
46,2.1,16.8,21.9,7.6,6.3,6.4,58.5,22.9,3.2,7.8,0.514,True,23.64798599535481
47,10.7,11.7,30.4,13.0,20.3,3.4,72.5,1.3,7.4,30.2,0.6421,True,34.60765904883106
48,0.0,80.8,3.8,26.5,0.0,1.5,17.0,91.3,19.1,6.0,0.0742,False,1.229552763151382
49,10.5,3.6,29.0,6.8,5.0,17.7,79.0,0.0,0.0,10.7,0.7031,True,24.472513066883728
50,9.0,12.0,25.4,17.3,7.2,1.4,25.4,1.7,2.9,3.3,0.16,True,30.74338164282552
51,5.1,15.2,25.5,11.7,3.8,20.4,83.2,0.0,1.0,12.6,0.7428,False,10.522507132626128
52,1.0,10.9,23.5,4.3,0.8,0.0,9.7,2.9,1.5,2.3,0.0229,False,0.7067370488969149
53,0.9,9.8,36.8,5.5,1.8,2.3,42.9,0.0,0.0,0.0,0.3559,False,16.881620777162638
54,0.0,25.9,19.5,4.4,2.3,0.0,3.8,4.4,0.0,3.4,0.0039,False,21.24602009407465
55,7.4,12.1,19.3,10.6,11.6,17.6,96.1,1.8,4.2,9.3,0.9118,True,26.898206309511025
56,8.6,10.0,21.8,12.9,6.7,1.4,62.5,20.1,16.6,2.6,0.5502,False,23.94009379870717
57,4.2,8.1,23.6,9.8,5.9,5.8,68.1,13.1,9.0,20.2,0.6029,True,28.25100458262251
58,7.4,23.7,23.4,7.4,3.5,0.0,23.9,2.0,0.6,1.8,0.1433,False,10.474657709457478
59,3.4,11.5,23.5,8.5,5.4,0.2,12.1,0.0,2.4,2.0,0.0374,False,2.0546837061224164
60,2.3,7.5,25.7,7.5,4.8,3.4,49.3,5.5,2.0,9.6,0.4214,True,9.111947000024047
61,7.6,15.3,27.0,18.2,11.9,34.4,99.7,0.5,9.1,25.0,0.9857,True,49.26433770918379
62,2.5,11.7,24.5,11.2,8.4,14.8,65.0,5.6,0.0,25.8,0.5765,True,26.519136787052283
63,1.7,15.9,28.9,14.7,4.1,5.4,21.7,0.0,2.0,8.1,0.1212,False,19.365200854404993
64,2.0,32.2,15.2,26.2,1.8,1.4,15.2,0.5,0.8,15.4,0.06,True,23.30753702633598
65,3.2,6.0,0.6,0.6,0.0,0.0,27.7,90.6,6.5,4.2,0.1844,False,5.799515380216757
66,3.8,38.7,9.9,29.4,2.9,2.2,34.5,64.1,19.9,16.2,0.257,False,20.477998335218977
67,16.2,5.9,39.5,10.1,0.0,0.9,49.1,0.0,0.6,0.8,0.4195,False,24.926445772656425
68,2.5,8.5,32.1,3.3,1.8,0.1,47.7,3.1,0.0,0.0,0.4042,False,2.26343401795853
69,7.2,20.8,14.3,23.5,2.2,3.0,18.5,0.0,0.3,20.0,0.0891,True,12.023267494844422
70,2.0,4.7,33.4,8.1,1.7,1.1,32.6,14.3,2.7,0.5,0.2355,False,8.091245283669817
71,5.6,4.2,27.2,10.7,10.2,3.3,76.3,0.0,0.2,10.6,0.677,True,15.603485977733335
72,3.6,4.9,35.6,6.3,4.3,1.0,20.4,2.2,0.0,5.3,0.1072,False,2.604654472137409
73,10.4,17.4,14.1,15.2,5.3,3.2,38.9,18.7,3.1,8.9,0.3077,False,8.959311581270146
74,4.9,15.6,29.4,13.7,5.0,0.0,32.0,0.0,0.0,3.6,0.2298,False,-0.6956641444685303
75,4.3,5.5,25.5,12.7,11.7,10.0,86.9,50.5,1.3,10.9,0.7827,False,31.62604708186272
76,2.1,25.0,15.9,15.9,4.0,0.2,23.5,7.9,0.0,8.4,0.1383,False,22.719872929713095
77,17.7,18.2,20.2,17.4,2.9,1.7,37.7,18.0,0.4,1.0,0.2937,False,12.9513423792465
78,4.7,0.0,25.9,8.1,0.0,0.8,92.9,86.5,0.0,13.7,0.8633,False,27.991151020386656
79,7.0,10.3,21.1,11.7,10.2,2.7,47.3,23.2,0.7,4.9,0.4003,False,12.156665339387477
80,4.3,0.8,36.9,3.7,12.8,48.3,92.8,82.3,15.3,54.8,0.8623,True,57.831062845202744
81,4.7,9.8,31.3,9.6,16.5,1.6,73.6,0.0,0.0,6.7,0.6526,False,18.835141938574576
82,7.4,38.2,9.2,23.7,0.0,0.1,10.2,0.0,3.2,5.3,0.0253,False,7.281506264807353
83,3.4,10.8,26.2,13.7,13.3,5.6,48.9,9.3,0.0,14.6,0.4172,True,24.83043951276989
84,4.3,18.1,23.2,10.7,5.1,12.9,64.2,7.0,5.9,14.0,0.5664,True,21.711125345701063
85,7.1,18.4,23.0,22.2,7.9,11.4,98.5,0.0,12.9,39.4,0.9622,True,65.68264566522953
86,4.2,11.4,27.2,6.0,5.3,0.0,41.6,44.9,16.7,10.6,0.3429,False,8.110050017226573
87,7.8,13.3,3.2,14.0,1.1,1.9,37.7,47.3,13.5,18.1,0.2937,False,25.133009203320455
88,15.7,8.7,30.3,11.4,17.2,14.9,98.0,11.5,6.8,21.7,0.9493,True,43.40027496501759
89,1.8,3.7,2.1,0.0,0.4,1.1,30.4,95.6,2.2,0.0,0.2097,False,25.415276230392752
90,1.3,23.5,27.2,16.6,9.4,5.1,96.5,1.6,16.0,35.7,0.9209,True,49.64717266954702
91,4.3,8.9,27.8,7.9,7.7,1.9,45.1,0.0,0.0,0.3,0.3798,False,7.193895050681801
92,10.5,23.1,23.5,16.7,9.2,3.3,23.9,0.0,2.7,14.3,0.1433,True,26.605611408280932
93,1.7,9.3,18.1,9.1,11.7,3.7,52.8,2.4,5.0,17.7,0.4571,True,26.114466462693382
94,10.2,7.8,28.7,4.9,0.0,0.0,55.0,21.3,4.7,0.0,0.4797,False,5.4842040846653095
95,11.2,1.8,8.5,3.6,4.0,3.0,55.5,61.4,15.4,5.8,0.485,False,36.648015662049936
96,4.1,14.9,10.6,18.6,4.9,5.0,43.3,49.9,3.3,7.2,0.3595,False,31.166357955844013
97,2.9,6.3,13.2,6.3,1.8,5.5,64.1,64.6,5.5,5.2,0.5659,False,12.221868540974445
98,1.6,15.4,22.0,10.9,4.6,3.2,48.3,5.6,4.7,15.3,0.4108,False,14.772657098963968
99,6.6,13.6,29.7,15.4,5.9,1.6,60.8,0.0,4.1,17.3,0.5342,True,27.29749902728798
100,3.8,14.6,27.4,6.1,8.5,0.5,40.0,0.0,0.0,2.7,0.3236,False,11.497801471985648
101,2.2,12.0,25.9,9.4,5.9,0.8,67.9,14.0,1.2,2.6,0.6022,False,5.330758401704813
102,5.7,5.7,35.2,9.0,10.0,5.8,75.4,0.0,0.0,5.3,0.669,True,15.096005135565544
103,3.0,11.6,26.3,13.0,5.0,5.9,36.7,30.8,4.6,3.0,0.2815,False,18.678960320404364
104,27.8,38.4,3.7,25.5,0.0,0.0,6.1,0.0,1.3,6.9,0.0092,False,7.902449642247027
105,7.3,10.7,29.5,12.1,4.3,7.2,82.9,1.4,5.5,10.5,0.7398,True,33.185679325004216
106,3.6,10.8,25.5,8.6,11.1,4.0,46.2,3.7,8.4,24.0,0.389,True,25.29950929947053
107,1.7,12.0,27.6,15.1,5.6,2.0,76.8,9.7,4.1,18.5,0.6824,False,14.409901724406316
108,6.7,4.1,41.7,6.6,14.0,20.5,96.0,0.0,5.6,25.5,0.9103,True,47.17971011056319
109,6.0,14.1,22.4,9.7,4.9,7.2,61.3,14.6,2.0,8.6,0.5388,True,32.89481664806175
110,1.7,6.3,39.5,11.1,7.5,7.6,93.4,31.5,0.0,19.7,0.8703,True,44.788758817795255
111,8.7,11.1,37.4,20.6,12.0,3.2,97.7,0.0,4.6,16.8,0.9438,True,53.912982261121705
112,1.6,15.6,20.7,15.2,4.3,1.7,33.0,13.4,0.5,2.5,0.2404,False,18.807810942964316
113,5.5,17.9,25.9,11.5,6.0,1.4,17.3,45.2,6.2,4.6,0.0775,False,19.665999099667673
114,1.9,12.9,27.6,6.8,3.4,3.8,76.0,0.0,1.0,1.1,0.6741,False,12.596054350356209
115,3.6,10.2,30.7,13.8,14.8,13.6,83.0,22.2,5.5,15.8,0.7411,True,28.82646959316242
116,7.9,19.5,28.4,12.8,9.1,5.1,76.7,29.7,9.5,2.8,0.6811,False,19.65676752970856
117,10.7,12.7,20.4,14.7,5.5,2.7,64.9,4.2,2.8,4.6,0.5752,False,9.280648030562062
118,4.9,10.0,28.2,17.7,8.1,0.0,37.3,4.0,3.4,6.8,0.288,False,18.291502105167243
119,3.2,4.8,38.5,7.9,11.8,8.0,92.2,0.0,0.0,11.4,0.8522,True,29.088109339703777
120,6.4,19.6,21.4,10.2,10.7,3.3,19.6,23.8,7.8,11.0,0.0996,False,17.14141784828614
121,4.6,7.4,40.3,12.9,18.1,28.0,100.0,0.0,9.7,22.5,0.9892,True,51.47289660568688
122,9.8,11.3,30.3,16.8,3.7,15.4,98.2,0.0,15.2,34.2,0.9544,True,43.595437383555925
123,2.8,6.0,32.5,11.3,6.8,2.0,40.7,3.3,1.3,1.9,0.3315,False,8.594525741165686
124,6.1,18.2,26.3,15.1,16.5,0.6,33.9,1.9,5.0,16.9,0.2497,True,28.365149545469528
125,0.0,17.4,23.3,9.6,10.6,4.0,63.4,3.2,1.1,38.3,0.5602,True,26.760478300788
126,11.9,14.8,27.1,28.9,8.0,5.8,90.2,5.8,13.4,25.2,0.8223,True,56.01827468070495
127,4.0,13.2,19.5,14.8,14.6,11.0,92.8,7.0,7.3,27.3,0.8623,True,48.429743046522866
128,4.7,18.0,16.4,9.0,3.4,7.9,60.0,0.0,3.0,0.7,0.5261,False,12.29780224637663
129,5.7,9.6,22.0,9.4,9.1,0.0,77.2,69.6,3.7,0.7,0.6871,False,31.28268058439512
130,6.7,8.9,30.8,8.7,4.2,22.2,98.3,0.0,7.9,31.4,0.9572,True,58.02417198768159
131,15.3,21.9,27.5,24.2,12.9,4.0,97.0,4.6,16.1,26.3,0.9303,True,47.98104903430423
132,5.3,14.3,32.2,16.1,16.9,6.1,95.3,29.8,16.4,27.0,0.8992,True,50.27264810964034
133,12.6,14.4,25.2,9.4,13.0,13.3,65.7,0.0,0.0,27.7,0.5828,True,21.29882412518376
134,5.0,9.2,16.1,10.2,6.2,0.4,38.7,51.3,6.8,10.2,0.3059,False,13.558194462487103
135,5.2,16.8,24.7,15.5,10.9,5.7,36.6,0.4,8.4,18.5,0.2807,True,36.58438595223063
136,9.5,17.1,27.5,25.4,9.9,7.9,99.9,1.3,6.0,13.4,0.9886,True,59.67311726111932
137,1.8,27.1,15.8,16.4,1.0,1.2,22.7,0.0,4.3,18.3,0.1314,False,12.791485235630445
138,13.5,15.0,28.1,16.5,16.2,0.1,92.7,19.3,10.1,23.2,0.8608,False,37.23520492680817
139,2.3,14.3,21.6,6.8,4.5,6.7,44.6,29.9,1.7,2.0,0.3746,False,9.298057018914466
140,1.6,7.0,22.9,13.1,2.8,4.2,44.4,26.9,4.2,5.8,0.3711,False,14.74886833746745
141,8.8,21.2,24.3,18.0,6.1,3.2,37.3,0.0,2.5,17.1,0.288,False,21.177606161516856
142,3.1,8.9,25.8,7.8,4.0,0.0,29.2,0.6,0.3,1.6,0.1995,False,-2.6152834621512877
143,7.7,8.9,27.1,9.6,17.0,8.5,99.4,20.6,3.8,10.5,0.9803,False,28.564584902793715
144,6.8,16.9,22.3,27.7,8.5,3.4,72.9,0.0,3.5,34.6,0.6454,True,35.56157689292942
145,0.8,17.4,29.9,11.1,7.9,1.9,42.2,0.0,0.5,1.0,0.3497,False,9.608353159594158
146,4.8,16.7,25.9,20.9,6.3,8.3,90.8,11.7,7.3,37.2,0.8312,True,45.32141144409877
147,5.9,10.8,23.9,15.5,3.2,4.1,84.7,0.0,1.2,6.9,0.7608,True,17.234884622078486
148,11.9,6.1,25.8,6.0,5.2,1.3,77.9,16.6,0.6,0.0,0.6947,False,13.790867659894156
149,1.1,3.6,13.7,7.2,6.6,6.3,63.9,70.5,0.0,3.5,0.5643,True,24.453414399072216
150,8.6,17.9,19.7,12.8,0.4,0.4,8.2,0.0,3.3,12.9,0.0152,True,15.591084647581878
151,8.4,13.1,28.9,23.3,18.1,11.6,89.8,28.6,15.2,17.1,0.8179,True,61.344807397174456
152,13.5,2.2,29.7,11.5,17.0,0.8,75.1,24.5,5.1,5.2,0.6665,False,12.35257695515977
153,1.1,7.3,24.9,10.4,10.3,12.7,78.3,40.1,10.1,18.9,0.6971,True,34.130662771882896
154,4.9,25.3,20.1,24.2,0.0,19.3,92.6,6.8,11.8,18.5,0.8592,True,46.444838659243224
155,8.2,5.1,20.1,6.3,5.4,29.7,75.4,55.4,3.8,15.0,0.669,True,42.17461366742288
156,5.8,17.1,30.5,9.1,0.0,1.7,31.9,2.0,3.6,0.3,0.2285,False,11.26281302065718
157,1.2,22.1,20.7,11.3,6.6,3.5,15.9,2.8,1.5,16.9,0.0648,False,12.338245086986294
158,9.8,14.1,27.0,10.2,0.0,4.0,37.0,0.0,0.0,0.0,0.2849,False,10.431536896080114
159,0.0,9.9,25.9,6.6,6.0,0.0,74.4,0.0,4.6,3.4,0.6603,False,6.321899012496659
160,0.0,20.0,38.6,14.8,6.0,2.1,36.5,6.1,0.0,6.8,0.2791,True,18.592567812478507
161,5.6,16.1,25.6,18.4,3.4,11.1,92.1,13.6,6.0,16.4,0.8497,True,31.981792957305053
162,6.1,25.6,20.8,19.8,4.9,9.8,98.0,4.5,8.1,28.3,0.9493,True,40.6803936643088
163,1.3,15.4,18.1,6.2,12.7,0.9,36.4,9.9,1.7,2.6,0.2782,False,-3.8622058180176406
164,4.1,22.4,18.9,20.2,1.6,6.8,35.0,0.3,2.6,36.2,0.2626,False,21.084905301053336
165,7.6,18.4,17.7,14.2,5.9,4.5,54.4,52.9,23.9,16.5,0.4725,False,24.088612545916355
166,4.2,8.5,31.7,12.4,8.2,8.7,83.6,0.0,1.3,2.8,0.7474,True,23.13811027858192
167,5.9,15.3,29.6,12.4,7.4,2.9,36.0,9.5,6.8,2.6,0.2735,False,28.673409042495692
168,11.7,10.9,32.2,11.3,7.3,14.0,92.7,9.2,3.3,13.9,0.8608,True,44.59970978097173
169,3.0,12.5,30.6,9.8,7.2,9.8,74.1,13.0,2.1,12.7,0.6564,True,27.77974727557485
170,4.6,26.4,21.8,19.4,9.2,1.5,21.7,14.9,9.2,17.6,0.1212,False,23.983532464336445
171,6.2,13.6,32.7,9.0,8.9,2.3,40.9,0.6,0.0,19.1,0.334,True,-8.167413408239135
172,8.1,18.9,26.9,21.5,9.0,4.2,90.2,0.4,16.6,25.9,0.8223,True,49.831856753177675
173,7.3,8.2,28.3,5.0,0.0,0.2,49.8,0.0,4.7,0.0,0.4254,False,0.501610001976986
174,2.6,13.4,24.0,6.3,0.0,0.0,26.1,0.0,0.0,0.0,0.1666,False,-3.15596165797871
175,2.8,12.1,28.5,6.9,5.6,1.6,39.9,0.0,4.4,1.8,0.3226,False,15.180571808463586
176,13.7,20.9,22.0,14.5,9.9,4.5,18.6,0.0,3.3,15.1,0.0901,True,29.727793720612244
177,3.8,4.7,30.7,2.9,0.3,5.0,78.9,71.9,9.8,3.8,0.702,False,23.638108550049736
178,3.9,11.7,20.7,12.7,11.0,4.7,64.9,10.2,12.4,24.5,0.5752,True,38.81094272213531
179,14.3,7.9,36.9,11.4,10.3,10.6,93.0,0.0,0.8,1.9,0.8648,True,34.19674769997792
180,2.7,13.6,23.5,10.7,5.0,2.3,85.7,4.6,4.1,17.5,0.7699,False,12.029740303494352
181,1.4,13.5,21.1,9.2,10.1,3.6,58.1,0.0,0.0,7.7,0.5104,False,13.241729840316191
182,5.4,6.9,23.5,6.8,15.3,5.4,86.5,65.1,13.4,9.3,0.7792,False,34.18964760911819
183,0.0,49.1,11.4,20.3,3.6,0.0,4.9,0.0,0.0,14.6,0.0058,False,11.42859980462612
184,8.5,16.7,25.7,10.3,3.4,3.7,42.9,0.0,5.3,11.5,0.3559,False,19.151775966045456
185,3.0,13.9,25.1,11.4,4.1,2.1,27.0,5.5,3.7,6.9,0.1757,False,13.528788180431905
186,0.5,16.4,19.7,10.7,4.0,1.2,18.8,60.4,7.6,7.3,0.0923,False,16.250654997173175
187,0.0,3.1,30.8,18.8,11.0,25.3,98.6,47.0,19.8,25.2,0.9644,True,44.54683950738436
188,0.2,11.1,33.1,13.3,13.2,21.4,94.5,67.2,6.9,8.1,0.8855,True,46.72044484416173
189,2.3,3.2,18.5,6.2,4.2,0.0,33.9,18.3,2.8,0.9,0.2497,False,14.277320065843735
190,0.6,16.2,29.1,7.8,12.8,0.8,42.2,44.1,4.2,1.5,0.3497,False,19.718000651100244
191,10.4,12.3,24.9,12.0,5.8,7.0,83.4,8.8,5.8,27.4,0.7456,True,36.75206061962447
192,4.2,20.2,19.7,21.5,2.9,1.4,48.7,2.8,2.9,13.9,0.4147,True,24.18004491225765
193,16.7,21.9,23.5,31.8,12.5,20.4,98.9,14.8,25.2,35.3,0.9705,True,62.328512484652784
194,3.2,18.0,30.1,14.4,11.0,3.6,50.9,0.0,7.2,11.9,0.4376,True,31.02120881683925
195,1.8,5.0,42.7,7.0,26.5,19.9,94.6,4.5,0.0,3.9,0.8876,True,21.289056794969383
196,3.2,16.4,31.4,9.9,3.5,0.3,33.9,8.9,0.9,0.7,0.2497,False,11.531705544417076
197,4.4,3.8,25.1,6.2,15.3,11.7,65.3,31.3,2.0,2.9,0.5787,False,15.48679312182506
198,6.8,13.1,23.8,10.1,2.7,1.3,18.6,11.0,4.1,1.7,0.0901,False,6.461974725066429
199,2.0,10.7,25.5,12.3,6.0,16.3,77.4,0.0,14.1,33.0,0.6891,True,40.99344178336344
200,12.2,13.3,31.6,11.8,2.4,4.1,93.2,0.5,4.1,33.9,0.868,True,37.17063661980645
201,1.4,20.1,17.5,16.5,3.3,5.1,77.8,5.1,5.4,8.5,0.6925,False,26.666256183569416
202,8.4,14.4,23.5,15.4,2.5,4.9,54.9,10.1,8.1,15.6,0.4779,True,23.484752834129186
203,3.3,10.6,24.7,10.0,5.0,1.8,68.6,0.5,1.4,3.2,0.6067,False,21.45698022094078
204,6.8,14.5,31.3,16.7,13.5,10.6,81.5,12.0,8.8,15.6,0.7268,True,30.223355370957663
205,4.7,8.6,32.5,1.9,10.8,5.1,38.6,3.9,0.0,7.2,0.3049,False,11.560481675781237
206,7.1,6.9,30.2,7.8,8.4,8.3,75.7,6.5,6.0,11.7,0.6711,True,40.775031642235184
207,0.5,18.8,23.9,10.1,6.3,1.0,31.5,23.5,0.0,2.2,0.2234,False,15.03423754286396
208,2.8,12.1,9.4,11.9,0.0,3.1,52.4,96.9,15.3,6.0,0.4536,False,19.19674417793449
209,7.8,9.8,31.8,12.7,5.1,10.0,41.7,1.6,4.5,20.1,0.344,True,20.74678141242674
210,6.1,8.1,11.9,11.5,2.5,1.9,60.6,38.2,0.8,2.3,0.5321,False,22.174420940776425
211,6.5,10.8,28.7,8.9,9.5,1.5,37.3,32.6,1.2,4.1,0.288,False,11.833187566545147
212,4.5,24.2,18.2,22.9,4.0,4.8,17.9,5.7,7.6,19.1,0.0843,True,26.401699299102297
213,8.3,11.4,32.5,12.1,19.1,4.7,73.5,8.7,19.6,33.9,0.651,True,64.9160232397279
214,1.1,17.8,38.6,18.9,3.9,20.8,97.0,0.0,16.5,17.4,0.9303,True,54.87853635936368
215,5.5,22.6,18.2,22.3,10.6,1.5,98.4,2.1,15.1,40.4,0.9603,True,47.03794163752111
216,6.8,8.8,31.1,9.1,24.2,2.7,89.1,39.7,0.5,7.2,0.81,False,16.69831408747656
217,1.7,25.4,15.8,26.8,3.9,1.0,22.8,1.2,2.5,19.8,0.1327,True,28.08074659745056
218,7.0,13.7,28.8,12.5,10.6,15.2,79.1,30.5,3.7,31.2,0.704,True,52.553744108318675
219,4.4,14.1,21.7,15.4,1.2,0.2,16.9,0.2,1.7,11.2,0.0732,False,10.897652660959707
220,0.0,14.0,33.5,22.2,17.6,8.3,99.4,7.2,26.7,35.8,0.9803,True,62.70795462462421
221,9.7,9.8,29.7,12.0,13.4,1.3,64.7,40.9,3.8,3.7,0.5726,False,30.17731661922084
222,0.0,9.4,38.2,9.8,44.0,11.5,88.6,8.5,0.0,5.8,0.8048,True,33.709000754153145
223,4.0,11.2,21.6,5.7,2.7,2.1,44.5,0.0,0.6,2.3,0.3728,False,-0.7279673666526483
224,6.9,23.4,21.7,15.1,10.8,4.8,39.2,11.6,12.7,17.5,0.3121,True,24.706172526725737
225,5.1,20.1,20.3,22.5,8.9,17.6,93.5,49.4,17.9,28.5,0.8718,True,50.86808051063375
226,14.3,40.8,14.0,26.4,0.0,2.0,28.8,57.1,33.9,29.9,0.1957,True,36.242694456534664
227,10.9,31.3,16.4,25.9,7.6,27.2,95.1,8.0,10.8,22.8,0.8963,True,52.601823597639715
228,8.1,15.4,26.9,12.6,3.0,8.8,46.7,3.4,0.4,9.0,0.3943,True,25.316812951397832
229,4.6,26.3,23.1,10.3,3.3,2.5,14.9,28.5,1.2,3.1,0.0567,False,2.7689977273659414
230,10.4,10.4,23.8,5.0,7.6,2.5,85.1,0.0,0.0,0.0,0.7645,False,16.055468262573882
231,4.3,5.9,35.4,5.9,4.0,9.7,83.9,0.0,2.0,8.9,0.7504,True,3.27272890427707
232,3.3,7.1,19.0,8.1,11.2,5.9,89.3,57.6,1.9,4.2,0.8116,True,18.717497770903883
233,5.9,11.7,20.0,13.4,18.2,20.8,98.7,1.9,6.9,31.8,0.9669,True,40.236466895477875
234,15.5,13.1,27.7,11.2,10.5,1.3,21.6,1.5,7.4,22.5,0.1202,True,35.31514282449061
235,7.7,6.6,22.5,5.8,7.0,2.4,72.8,68.6,6.3,12.0,0.6446,False,28.462501809012313
236,1.7,19.7,23.0,5.7,2.7,0.0,15.7,0.0,2.4,0.0,0.0634,False,6.434872651016073
237,2.3,13.0,28.5,4.2,0.0,0.0,14.8,0.0,0.0,2.1,0.0564,False,4.298468913958201
238,11.8,11.2,32.1,16.5,11.1,10.2,82.0,14.2,11.3,25.8,0.7303,True,42.90770691642575
239,0.0,17.1,23.8,11.4,2.6,7.2,47.6,0.0,0.0,0.0,0.4036,False,-7.91235811827001
240,16.8,24.5,16.8,20.2,0.7,0.8,99.6,0.0,7.7,23.3,0.9839,True,41.59469491649695
241,2.6,29.3,18.6,17.1,3.1,0.0,10.3,0.0,0.0,15.4,0.0261,False,25.935910548474787
